cntry,country,essround_yr,age_group,wellbeing_m_minus_w,wellbeing_color,wellbeing_men,wellbeing_woman,media_m_minus_w,media_color,media_men,media_woman,internet_m_minus_w,internet_color,internet_men,internet_woman,relig_m_minus_w,relig_color,relig_men,relig_woman,social_m_minus_w,social_color,social_men,social_woman,finstab_m_minus_w,finstab_color,finstab_men,finstab_woman,conservatism_m_minus_w,conservatism_color,conservatism_men,conservatism_woman,trust_m_minus_w,trust_color,trust_men,trust_woman
AT,Austria,2002,25-39,0.02,7,4.91,4.89,0.05,7.0,2.54,2.49,0.49,5.0,4.43,3.94,-0.49,10,2.63,3.12,0.01,7,3.96,3.95,0.19,7.0,4.5,4.31,0.13,7,3.01,2.88,0.13,7,3.79,3.66
AT,Austria,2002,40-59,-0.01,8,4.81,4.81,-0.02,8.0,2.6,2.62,0.49,5.0,3.6,3.1,-0.4,10,2.99,3.39,-0.04,8,3.72,3.76,0.12,7.0,4.58,4.46,0.16,7,3.2,3.04,0.14,7,3.73,3.59
AT,Austria,2002,60+,0.31,6,4.67,4.36,-0.01,8.0,2.85,2.86,0.52,5.0,2.04,1.52,-0.38,9,3.22,3.6,0.14,7,3.57,3.43,0.41,5.0,4.57,4.16,0.02,7,3.43,3.41,0.02,7,3.78,3.75
AT,Austria,2002,<25,0.15,7,4.9,4.75,-0.01,8.0,2.45,2.47,0.42,5.0,4.73,4.31,-0.16,8,2.5,2.66,0.02,7,4.25,4.23,0.17,7.0,4.43,4.26,0.32,6,2.87,2.55,0.12,7,3.55,3.43
AT,Austria,2002,AGGREGATE,0.1,7,4.81,4.71,0.0,7.0,2.64,2.63,0.49,5.0,3.52,3.02,-0.4,10,2.9,3.31,0.04,7,3.8,3.77,0.21,6.0,4.54,4.32,0.13,7,3.17,3.04,0.1,7,3.73,3.64
BE,Belgium,2002,25-39,0.09,7,4.75,4.66,0.12,7.0,2.64,2.52,0.45,5.0,3.86,3.41,-0.36,9,2.09,2.46,0.05,7,3.91,3.86,0.1,7.0,4.91,4.81,0.03,7,3.06,3.03,-0.05,8,3.44,3.49
BE,Belgium,2002,40-59,0.09,7,4.62,4.53,0.02,7.0,2.63,2.61,0.45,5.0,3.11,2.66,-0.27,9,2.57,2.84,0.13,7,3.66,3.53,0.18,7.0,4.7,4.52,0.05,7,3.15,3.1,0.13,7,3.36,3.23
BE,Belgium,2002,60+,0.15,7,4.48,4.32,0.08,7.0,2.82,2.74,0.34,6.0,1.69,1.35,-0.84,12,2.94,3.77,-0.0,8,3.51,3.51,0.27,6.0,4.58,4.31,-0.01,8,3.39,3.4,-0.01,8,3.3,3.31
BE,Belgium,2002,<25,0.08,7,4.75,4.68,0.08,7.0,2.36,2.28,0.29,6.0,4.25,3.97,-0.37,9,2.13,2.5,0.05,7,4.21,4.16,0.09,7.0,5.18,5.09,0.16,7,3.13,2.96,-0.17,8,3.55,3.72
BE,Belgium,2002,AGGREGATE,0.11,7,4.64,4.53,0.07,7.0,2.64,2.57,0.44,5.0,3.16,2.72,-0.47,10,2.46,2.93,0.08,7,3.78,3.7,0.18,7.0,4.8,4.63,0.05,7,3.18,3.13,0.01,7,3.4,3.39
