cntry,country,essround_yr,wellbeing_men,wellbeing_woman,media_men,media_woman,internet_men,internet_woman,relig_men,relig_woman,social_men,social_woman,finstab_men,finstab_woman,conservatism_men,conservatism_woman,trust_men,trust_woman
AGGREGATE,,2002,4.55,4.33,2.68,2.62,3.06,2.62,2.71,3.25,3.78,3.69,4.53,4.32,3.25,3.19,3.61,3.58
AT,Austria,2002,4.8,4.71,2.63,2.63,3.52,3.02,2.9,3.31,3.8,3.77,4.53,4.33,3.17,3.04,3.73,3.64
BE,Belgium,2002,4.64,4.52,2.63,2.56,3.17,2.74,2.46,2.92,3.78,3.7,4.79,4.61,3.18,3.13,3.4,3.38
CH,Switzerland,2002,4.89,4.72,2.48,2.45,3.86,3.21,2.86,3.39,3.82,3.86,5.13,4.9,3.03,2.98,4.04,3.91
CZ,Czechia,2002,4.09,3.87,2.78,2.74,2.37,1.97,1.96,2.35,3.44,3.36,3.91,3.59,3.48,3.45,3.04,2.97
DE,Germany,2002,4.37,4.16,2.71,2.67,,,2.28,2.72,3.68,3.7,4.51,4.49,3.17,3.06,3.61,3.59
DK,Denmark,2002,5.16,4.89,2.85,2.76,4.0,3.67,2.19,2.61,3.95,4.1,5.32,5.21,3.06,2.91,4.43,4.41
ES,Spain,2002,4.41,4.21,2.62,2.53,2.17,1.8,2.47,3.32,3.79,3.71,4.42,4.31,3.03,3.08,3.2,3.2
FI,Finland,2002,4.8,4.7,2.67,2.6,3.35,3.32,2.59,3.36,3.77,3.88,4.42,4.39,3.44,3.18,4.25,4.25
FR,France,2002,4.41,4.14,2.61,2.53,,,2.12,2.62,3.99,3.9,,,3.11,3.04,3.4,3.39
GB,United Kingdom,2002,4.5,4.23,2.86,2.73,3.14,2.72,2.36,2.94,3.82,3.83,4.85,4.67,3.33,3.22,3.49,3.47
GR,Greece,2002,4.35,4.06,2.52,2.37,1.85,1.43,3.92,4.54,3.56,3.13,3.56,3.19,3.69,3.82,3.69,3.69
HU,Hungary,2002,3.89,3.76,2.68,2.65,2.08,1.8,2.31,3.11,3.16,2.96,3.61,3.41,3.57,3.56,3.29,3.34
IE,Ireland,2002,4.77,4.52,3.06,2.97,2.9,2.65,3.75,4.24,3.87,3.69,4.76,4.53,3.1,3.09,3.61,3.53
IL,Israel,2002,4.58,4.37,2.75,2.69,2.94,2.49,3.02,2.78,3.89,3.85,3.88,3.61,3.34,3.36,3.68,3.69
IT,Italy,2002,4.36,4.08,2.46,2.42,2.69,2.11,3.18,3.95,3.54,3.34,4.61,4.55,3.22,3.16,3.62,3.62
LU,Luxembourg,2002,4.73,4.54,2.69,2.67,3.52,2.98,2.32,2.89,3.85,3.68,5.07,5.03,2.94,2.92,3.96,3.86
NL,Netherlands,2002,4.66,4.48,2.82,2.75,3.75,3.1,2.64,2.97,3.88,3.91,5.09,4.96,3.13,3.05,3.72,3.63
NO,Norway,2002,4.94,4.67,2.73,2.68,3.94,3.39,2.24,2.73,4.16,4.2,5.09,4.98,3.32,3.13,4.0,3.96
PL,Poland,2002,4.05,3.86,2.59,2.58,2.09,1.91,3.9,4.49,3.45,3.25,3.66,3.5,3.44,3.41,2.86,2.9
PT,Portugal,2002,4.1,3.85,2.62,2.43,2.1,2.18,2.97,3.93,4.05,3.81,3.87,3.53,3.32,3.33,3.0,3.03
SE,Sweden,2002,4.85,4.63,2.56,2.53,4.08,3.53,2.06,2.5,4.02,4.0,5.12,5.0,3.0,2.73,3.93,3.92
SI,Slovenia,2002,4.42,4.21,2.48,2.45,2.83,2.55,2.66,3.16,3.65,3.4,4.79,4.54,3.48,3.35,3.0,3.07
AGGREGATE,,2004,4.46,4.24,2.65,2.59,3.23,2.81,2.69,3.22,3.74,3.64,4.33,4.13,3.32,3.27,3.44,3.44
AT,Austria,2004,4.71,4.57,2.57,2.62,4.03,3.48,2.86,3.27,3.9,3.76,4.76,4.65,3.23,3.13,3.57,3.53
BE,Belgium,2004,4.67,4.49,2.61,2.52,3.61,3.03,2.35,2.79,3.81,3.77,4.56,4.41,3.15,3.08,3.5,3.45
CH,Switzerland,2004,4.92,4.75,2.51,2.56,4.18,3.29,2.99,3.5,3.86,3.83,4.91,4.75,3.17,3.03,3.98,3.92
CZ,Czechia,2004,4.12,4.02,2.66,2.66,2.49,2.26,1.78,2.19,3.39,3.31,3.59,3.47,3.49,3.49,2.73,2.78
DE,Germany,2004,4.35,4.15,2.66,2.64,3.43,2.92,2.23,2.75,3.63,3.61,4.5,4.36,3.21,3.08,3.47,3.53
DK,Denmark,2004,5.1,4.86,2.79,2.71,4.39,4.03,2.23,2.69,3.96,4.01,5.32,5.26,3.05,2.89,4.5,4.41
EE,Estonia,2004,3.88,3.8,2.8,2.74,3.27,3.15,1.88,2.43,3.35,3.34,3.47,3.46,3.7,3.65,3.26,3.36
ES,Spain,2004,4.49,4.28,2.53,2.44,2.85,2.49,2.52,3.14,3.94,3.86,4.65,4.54,3.03,3.02,3.39,3.36
FI,Finland,2004,4.81,4.72,2.64,2.58,3.72,3.66,2.57,3.36,3.74,3.9,4.4,4.43,3.35,3.18,4.29,4.29
FR,France,2004,4.4,4.17,2.59,2.52,,,2.09,2.57,3.95,3.95,,,3.15,3.09,3.33,3.34
GB,United Kingdom,2004,4.47,4.23,2.82,2.71,3.18,2.9,2.46,2.91,3.81,3.77,4.58,4.53,3.23,3.16,3.42,3.45
GR,Greece,2004,4.44,4.19,2.52,2.35,2.12,1.69,3.81,4.44,3.34,2.98,3.53,3.34,3.68,3.79,3.48,3.57
HU,Hungary,2004,3.89,3.84,2.62,2.52,2.45,2.37,2.33,2.97,3.08,2.99,3.59,3.46,3.59,3.61,3.0,3.11
IE,Ireland,2004,4.8,4.58,2.96,2.9,3.03,2.82,3.85,4.37,3.73,3.49,4.96,4.87,3.06,3.08,3.67,3.62
IS,Iceland,2004,5.23,4.96,2.66,2.67,4.9,4.65,2.79,3.34,4.08,4.22,5.25,4.92,2.84,2.63,4.05,4.04
LU,Luxembourg,2004,4.66,4.46,2.62,2.52,3.52,3.05,2.45,2.94,3.77,3.71,4.99,4.91,3.04,3.09,4.0,3.91
NL,Netherlands,2004,4.63,4.41,2.7,2.64,4.13,3.55,2.58,2.99,3.87,3.98,4.94,4.61,3.04,2.99,3.73,3.63
NO,Norway,2004,4.9,4.69,2.74,2.71,4.43,3.89,2.22,2.69,4.23,4.23,5.03,5.0,3.25,3.0,3.98,3.93
PL,Poland,2004,4.13,4.01,2.64,2.58,2.43,2.32,3.9,4.46,3.48,3.34,3.72,3.6,3.51,3.44,2.49,2.66
PT,Portugal,2004,4.09,3.85,2.47,2.33,2.38,2.06,2.97,3.79,4.11,3.93,3.87,3.53,3.39,3.46,2.85,2.83
SE,Sweden,2004,4.85,4.59,2.53,2.52,4.22,3.79,2.02,2.44,3.94,3.98,5.14,4.94,2.97,2.86,3.75,3.73
SI,Slovenia,2004,4.48,4.3,2.51,2.5,3.17,2.92,2.57,3.17,3.76,3.49,4.77,4.64,3.42,3.4,2.89,2.98
SK,Slovakia,2004,3.95,3.75,2.63,2.59,2.6,2.3,3.14,3.69,3.7,3.51,3.42,3.09,3.53,3.45,2.73,2.74
TR,Turkey,2004,4.25,3.97,2.65,2.41,2.23,1.82,4.48,4.07,3.63,3.29,3.62,3.53,4.18,4.16,3.59,3.73
UA,Ukraine,2004,3.48,3.17,2.77,2.74,1.52,1.4,2.77,3.5,3.71,3.58,2.7,2.41,3.64,3.67,2.62,2.75
AGGREGATE,,2006,4.45,4.19,2.63,2.56,3.56,3.09,2.58,3.16,3.79,3.73,4.37,4.1,3.29,3.25,3.4,3.38
AT,Austria,2006,4.69,4.55,2.67,2.66,4.27,3.85,2.83,3.25,4.03,3.93,4.75,4.63,3.24,3.17,3.61,3.61
BE,Belgium,2006,4.63,4.48,2.69,2.56,3.95,3.59,2.37,2.88,3.79,3.76,4.61,4.49,3.13,3.06,3.52,3.55
BG,Bulgaria,2006,3.62,3.35,2.64,2.51,2.06,2.07,2.28,2.87,3.8,3.8,2.63,2.32,3.1,2.91,2.26,2.39
CH,Switzerland,2006,4.91,4.77,2.45,2.43,4.42,3.73,2.91,3.46,3.91,3.91,4.97,4.86,3.09,3.01,3.97,4.05
CY,Cyprus,2006,4.83,4.62,2.78,2.48,2.49,2.19,3.72,4.42,3.34,3.28,4.38,4.09,3.69,3.57,3.62,3.7
DE,Germany,2006,4.38,4.18,2.64,2.58,3.7,3.07,2.27,2.71,3.63,3.66,4.39,4.27,3.21,3.11,3.56,3.5
DK,Denmark,2006,5.1,4.86,2.77,2.64,4.62,4.25,2.22,2.64,4.03,4.04,5.36,5.32,2.96,2.8,4.54,4.42
EE,Estonia,2006,4.08,3.93,2.77,2.81,3.86,3.57,1.95,2.45,3.4,3.47,4.02,3.72,3.81,3.72,3.36,3.37
